Number,Title,Type,ign_score,ign_user,ign_note
255,Birdie King 3,TRACKBALL,,,"['unable to get the rating', 'unable to get the user rating']"
256,Blasteroids,TRACKBALL,,,"['unable to get the rating', 'unable to get the user rating']"
257,Bomb Bee,TRACKBALL,,,"['unable to get the rating', 'unable to get the user rating']"
258,Bulls Eye Darts,TRACKBALL,,,"['unable to get the rating', 'unable to get the user rating']"
259,Cameltry,TRACKBALL,NR,-,[]
260,Crystal Castles,TRACKBALL,NR,5.7,[]
261,Centipede,TRACKBALL,8,6.9,[]
262,Cutie Q,TRACKBALL,,,"['unable to get the rating', 'unable to get the user rating']"
263,Danger Zone,TRACKBALL,6.9,7.3,[]
264,Dark Planet,TRACKBALL,,,"['unable to get the rating', 'unable to get the user rating']"
265,D-Day,TRACKBALL,,,"['unable to get the rating', 'unable to get the user rating']"
266,Dunk Shot,TRACKBALL,,,"['unable to get the rating', 'unable to get the user rating']"
267,Food Fight,TRACKBALL,NR,-,[]
268,Gee Bee (Japan),TRACKBALL,,,"['unable to get the rating', 'unable to get the user rating']"
269,Goalie Ghost,TRACKBALL,,,"['unable to get the rating', 'unable to get the user rating']"
270,Liberator,TRACKBALL,NR,8,[]
271,Marble Madness,TRACKBALL,5,6.5,[]
272,Millipede,TRACKBALL,NR,5.8,[]
273,Mini Golf,TRACKBALL,7.8,-,[]
274,Missile Command,TRACKBALL,,,"['unable to get the rating', 'unable to get the user rating']"
275,Mad Planets,TRACKBALL,,,"['unable to get the rating', 'unable to get the user rating']"
276, Night Stocker,TRACKBAll,,,"['unable to get the rating', 'unable to get the user rating']"
277, N.Y. Captor,TRACKBAll,,,"['unable to get the rating', 'unable to get the user rating']"
278,Night Warriors: Darkstalkers' Revenge,,NR,7,[]
279, Operation Wolf,TRACKBAll,2,5,[]
280, Police Trainer,TRACKBAll,NR,-,[]
281, Reactor,TRACKBAll,NR,,['unable to get the user rating']
282, Snacks'n Jaxson,TRACKBAll,,,"['unable to get the rating', 'unable to get the user rating']"
283, Spiker,TRACKBAll,,,"['unable to get the rating', 'unable to get the user rating']"
284, Super Missile Attack,TRACKBAll,,,"['unable to get the rating', 'unable to get the user rating']"
285, Syvalion (Japan),TRACKBAll,,,"['unable to get the rating', 'unable to get the user rating']"
286, Tempest,TRACKBAll,6,6.2,[]
287, Zero Point,TRACKBAll,NR,,['unable to get the user rating']
288, Zero Point 2,TRACKBAll,,,"['unable to get the rating', 'unable to get the user rating']"
289,Out Run,,,,"['unable to get the rating', 'unable to get the user rating']"
290, Shuffleshot,TRACKBAll,,,"['unable to get the rating', 'unable to get the user rating']"
291, Shuffleboard,TRACKBAll,,,"['unable to get the rating', 'unable to get the user rating']"
292,Vendetta,3/4P,NR,,['unable to get the user rating']
293,"Tank Force (US, 4 Player)",3/4P,,,"['unable to get the rating', 'unable to get the user rating']"
294,"Alien Storm (World, 3 Players)",3/4P,,,"['unable to get the rating', 'unable to get the user rating']"
295,Crime Fighters (US 4 Players),3/4P,,,"['unable to get the rating', 'unable to get the user rating']"
296,D. D. Crew,3/4P,,,"['unable to get the rating', 'unable to get the user rating']"
297,Hot Rod,3/4P,,,"['unable to get the rating', 'unable to get the user rating']"
298, 720 Degrees,TRACKBAll,,,"['unable to get the rating', 'unable to get the user rating']"
299,1941: Counter Attack,,NR,7,[]
300,1942,,5,5.7,[]
301,1943: The Battle of Midway,,NR,7,[]
302,1944: The Loop Master,,NR,7,[]
303,1942 (Revision A),,,,"['unable to get the rating', 'unable to get the user rating']"
304,1942 (C64 Music),,,,"['unable to get the rating', 'unable to get the user rating']"
305,1943: Midway Kaisen,,,,"['unable to get the rating', 'unable to get the user rating']"
306,1943 Kai: Midway Kaisen (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
307,1943: The Battle of Midway (US),,,,"['unable to get the rating', 'unable to get the user rating']"
308,"1944 - the loop master (000620 USA Phoenix Edition, alt)",,,,"['unable to get the rating', 'unable to get the user rating']"
309,1945k III,,,,"['unable to get the rating', 'unable to get the user rating']"
310,19XX: The War Against Destiny,,,,"['unable to get the rating', 'unable to get the user rating']"
311,2020 Super Baseball,,,,"['unable to get the rating', 'unable to get the user rating']"
312,3 Count Bout,,NR,5,[]
313,3 Count Bout (VER.A),,,,"['unable to get the rating', 'unable to get the user rating']"
314,New HyperMan,,,,"['unable to get the rating', 'unable to get the user rating']"
315,Three Wonders,,,,"['unable to get the rating', 'unable to get the user rating']"
316,Forty-Love,,,,"['unable to get the rating', 'unable to get the user rating']"
317,4-D Warriors,,,,"['unable to get the rating', 'unable to get the user rating']"
318,4 En Raya,,,,"['unable to get the rating', 'unable to get the user rating']"
319,4 Fun in 1,,,,"['unable to get the rating', 'unable to get the user rating']"
320,Puzzle King,,,,"['unable to get the rating', 'unable to get the user rating']"
321,64th. Street-A Detective Story,,,,"['unable to get the rating', 'unable to get the user rating']"
322,88 Games,,,,"['unable to get the rating', 'unable to get the user rating']"
323,Eight Ball Action,,,,"['unable to get the rating', 'unable to get the user rating']"
324,Eight Ball Action (Pac-Man conversion),,,,"['unable to get the rating', 'unable to get the user rating']"
325,99: The Last War,,,,"['unable to get the rating', 'unable to get the user rating']"
326,All American Football,3/4P,,,"['unable to get the rating', 'unable to get the user rating']"
327,Abscam,,,,"['unable to get the rating', 'unable to get the user rating']"
328,After Burner II,,5,6,[]
329,Atlantic City Action,,,,"['unable to get the rating', 'unable to get the user rating']"
330,Acrobat Mission,,,,"['unable to get the rating', 'unable to get the user rating']"
331,Act-Fancer Cybernetick Hyper Weapon,,,,"['unable to get the rating', 'unable to get the user rating']"
332,Action Hollywood,,,,"['unable to get the rating', 'unable to get the user rating']"
